fileName,IntervalName,duration,start,end,language,location,group,condition,IOI,speaker,gender
Czech_Prague_C1_conv.TextGrid,1,0.1998626642891849,637.8808796490486,638.0807423133377,Czech,Prague,C1,conv,5.003435752027612,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.0632214578179173,638.0807423133377,638.1439637711557,Czech,Prague,C1,conv,15.817414443053142,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1632394992961963,638.1439637711557,638.3072032704519,Czech,Prague,C1,conv,6.125968312274169,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1121577512170688,638.3072032704519,638.4193610216689,Czech,Prague,C1,conv,8.916013286184846,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1971205569553831,638.4193610216689,638.6164815786243,Czech,Prague,C1,conv,5.073037614368872,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.3453570359257583,638.6164815786243,638.9618386145501,Czech,Prague,C1,conv,2.895554154034872,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.0821983907578669,638.9618386145501,639.0440370053079,Czech,Prague,C1,conv,12.16568829121869,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1976641556102549,639.0440370053079,639.2417011609182,Czech,Prague,C1,conv,5.059086190476305,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.2935565143257008,639.2417011609182,639.5352576752439,Czech,Prague,C1,conv,3.406499093699214,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1918199582015631,639.5352576752439,639.7270776334454,Czech,Prague,C1,conv,5.21322186375,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.124399203390908,639.7270776334454,639.8514768368364,Czech,Prague,C1,conv,8.038636685297996,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.2087136771806399,639.8514768368364,640.060190514017,Czech,Prague,C1,conv,4.791252847002013,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.2156247440356082,640.060190514017,640.2758152580526,Czech,Prague,C1,conv,4.637686664731114,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.2919195694474865,640.2758152580526,640.5677348275001,Czech,Prague,C1,conv,3.425601106128962,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.0421588283071514,640.8581361174664,640.9002949457736,Czech,Prague,C1,conv,23.719824296691144,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.4991063155770234,640.9002949457736,641.3994012613506,Czech,Prague,C1,conv,2.0035811385073075,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1028187100349669,641.648884015467,641.751702725502,Czech,Prague,C1,conv,9.72585631214316,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.0867935229472323,641.751702725502,641.8384962484492,Czech,Prague,C1,conv,11.52159707364302,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1435217513850375,641.8384962484492,641.9820179998343,Czech,Prague,C1,conv,6.9675849852000376,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1301453287019285,641.9820179998343,642.1121633285362,Czech,Prague,C1,conv,7.683717963403031,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1422767478219384,642.1121633285362,642.2544400763582,Czech,Prague,C1,conv,7.028555370491852,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1218083947802597,642.2544400763582,642.3762484711384,Czech,Prague,C1,conv,8.209614795466136,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.2737933282992344,642.3762484711384,642.6500417994376,Czech,Prague,C1,conv,3.652389947599743,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.0699964711336633,642.6500417994376,642.7200382705713,Czech,Prague,C1,conv,14.286434498825349,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1155544297710093,642.7200382705713,642.8355927003423,Czech,Prague,C1,conv,8.653930463606368,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1167656051246694,642.8355927003423,642.952358305467,Czech,Prague,C1,conv,8.564165782657579,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1687151096368779,642.952358305467,643.1210734151039,Czech,Prague,C1,conv,5.927151410162845,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1373135009638417,643.1210734151039,643.2583869160677,Czech,Prague,C1,conv,7.282605082389725,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.1657023398219053,643.2583869160677,643.4240892558896,Czech,Prague,C1,conv,6.034917799439567,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.0918894793558138,643.4240892558896,643.5159787352454,Czech,Prague,C1,conv,10.88263865472354,1,Female
Czech_Prague_C1_conv.TextGrid,1,0.2214385813983881,643.5159787352454,643.7374173166438,Czech,Prague,C1,conv,4.515924883933885,1,Female
